row_id,ESE_total,log10_revenue
4739,56,6
4744,39,4.699
4761,41,4.3979
4770,39,4.3979
4792,33,5.0969
4794,42,3.699
4803,47,5.699
4805,56,4.699
4813,63,4.3979
4821,48,5.301
4824,52,4.3979
4828,51,5.699
4830,47,3.699
4832,63,5.699
4833,54,5.301
4838,51,4.3979
4840,49,8
4845,50,6
4849,21,3.699
4868,51,5.301
4869,40,6.699
4871,42,3.699
4872,40,3.699
4877,57,3.699
4878,48,6.699
4884,21,4.699
4892,43,4.3979
4894,56,5.0969
4895,47,3.699
4898,59,6.699
4913,43,5.0969
4914,61,6
4916,63,3.699
4923,62,5.0969
4928,62,5.0969
4930,41,4.699
4932,51,5.301
4933,51,6.699
4939,56,4.3979
4945,43,4.699
4965,47,4.3979
4971,53,6.699
4975,42,3.699
4976,52,5.301
4980,47,6
5001,61,6
5006,39,3.699
5009,40,5.0969
5030,46,4.699
5036,48,4.699
5055,59,3.699
5073,54,4.3979
5078,42,5.0969
5096,46,5.301
5097,57,4.3979
5099,60,8
5107,63,4.3979
5117,55,6.699
5120,46,3.699
5124,41,5.0969
5131,41,6
5141,58,6
5142,38,8
5150,42,5.699
5153,55,3.699
5167,43,5.699
5168,63,3.699
5173,26,4.699
5177,39,5.0969
5187,48,3.699
5194,52,4.699
5198,60,3.699
5221,63,5.699
5222,42,3.699
5231,35,4.3979
5237,45,3.699
5249,42,4.3979
5256,62,5.699
5265,52,6.699
5269,49,6.699
5282,50,6.699
5284,53,6
5285,38,6
5286,63,5.0969
5295,42,3.699
5310,48,5.0969
5334,60,4.699
5335,49,5.301
5338,56,8
5342,45,4.3979
5359,61,3.699
5375,49,4.3979
5376,46,4.699
5382,31,6.699
5389,63,4.3979
5399,23,3.699
5850,55,4.699
6040,40,3.699
6207,52,5.301
6217,60,5.0969
6231,54,5.699
