row_id,ESE_total,log10_revenue,revenue_cat_2022
1906,38,5.096910013008056,"$50,001 - $125,000"
1915,26,6.698970004336019,"$1,000,001 - $5,000,000"
1923,20,4.3979,"$5,001 - $25,000"
1941,41,5.698970004336019,"$200,001 - $500,000"
1945,29,6,"$500,001 - $1,000,000"
1948,30,5.096910013008056,"$50,001 - $125,000"
1974,0,6,"$500,001 - $1,000,000"
1976,36,7,"$5,000,001 - $10,000,000"
1987,15,6.698970004336019,"$1,000,001 - $5,000,000"
1990,40,6.698970004336019,"$1,000,001 - $5,000,000"
2003,41,3.699,"$0 - $5,000"
2008,27,5.698970004336019,"$200,001 - $500,000"
2016,29,6,"$500,001 - $1,000,000"
2035,34,5.698970004336019,"$200,001 - $500,000"
2043,26,5.096910013008056,"$50,001 - $125,000"
2066,35,5.096910013008056,"$50,001 - $125,000"
2083,21,5.698970004336019,"$200,001 - $500,000"
2084,20,5.096910013008056,"$50,001 - $125,000"
2098,34,7,"$5,000,001 - $10,000,000"
2100,0,3.699,"$0 - $5,000"
2113,36,6.698970004336019,"$1,000,001 - $5,000,000"
2292,27,7,"$5,000,001 - $10,000,000"
2343,35,5.301029995663981,"$125,001 - $200,000"
2420,0,5.096910013008056,"$50,001 - $125,000"
2431,34,6.698970004336019,"$1,000,001 - $5,000,000"
2457,20,3.699,"$0 - $5,000"
2458,36,3.699,"$0 - $5,000"
2462,40,4.699,"$25,001 - $50,000"
2467,13,5.301029995663981,"$125,001 - $200,000"
2476,18,5.096910013008056,"$50,001 - $125,000"
2477,26,5.096910013008056,"$50,001 - $125,000"
2478,33,5.301029995663981,"$125,001 - $200,000"
2483,25,3.699,"$0 - $5,000"
2494,21,5.096910013008056,"$50,001 - $125,000"
2496,21,4.699,"$25,001 - $50,000"
2497,12,5.698970004336019,"$200,001 - $500,000"
2505,36,8,"$10,000,001 or more"
2507,23,4.699,"$25,001 - $50,000"
2508,42,6.698970004336019,"$1,000,001 - $5,000,000"
2529,9,5.096910013008056,"$50,001 - $125,000"
2531,27,5.096910013008056,"$50,001 - $125,000"
2555,25,6.698970004336019,"$1,000,001 - $5,000,000"
2557,42,6,"$500,001 - $1,000,000"
2568,31,5.096910013008056,"$50,001 - $125,000"
2570,38,6,"$500,001 - $1,000,000"
2583,12,6,"$500,001 - $1,000,000"
2592,29,3.699,"$0 - $5,000"
2594,11,5.096910013008056,"$50,001 - $125,000"
2596,38,4.699,"$25,001 - $50,000"
2608,32,6,"$500,001 - $1,000,000"
2618,25,6.698970004336019,"$1,000,001 - $5,000,000"
2630,37,6,"$500,001 - $1,000,000"
2671,37,5.301029995663981,"$125,001 - $200,000"
2675,25,3.699,"$0 - $5,000"
2683,25,4.3979,"$5,001 - $25,000"
2686,19,5.698970004336019,"$200,001 - $500,000"
2690,42,6.698970004336019,"$1,000,001 - $5,000,000"
2693,32,6,"$500,001 - $1,000,000"
2704,41,5.698970004336019,"$200,001 - $500,000"
2727,15,5.096910013008056,"$50,001 - $125,000"
2728,30,5.096910013008056,"$50,001 - $125,000"
2735,25,3.699,"$0 - $5,000"
2759,22,4.699,"$25,001 - $50,000"
2760,26,8,"$10,000,001 or more"
2769,42,4.3979,"$5,001 - $25,000"
2798,19,5.698970004336019,"$200,001 - $500,000"
2799,20,4.3979,"$5,001 - $25,000"
2933,21,6.698970004336019,"$1,000,001 - $5,000,000"
